StoryHeight,lat,lon,wayid,sunlight(hours),roofsize(sqft),avg_elec_bill,recommended_panel,recommended_sqft,height
2.5,42.2686424,-71.4206829,213259671,1446,634,100,5.5 kW,388,
1,42.3046537,-71.4048193,213251883,1314,1427,100,5 kW,352,
1,42.3010785,-71.4546343,213269788,1391,969,100,5 kW,352,
1.75,42.2619689,-71.4248574,213262037,1068,1427,100,6.75 kW,476,
1,42.309266,-71.3975609,213249179,1365,810,100,5 kW,352,
2,42.3095293,-71.47729,213272165,1240,1550,100,5.75 kW,405,
1,42.3060786,-71.4148849,213257328,1448,1427,100,4.5 kW,317,
1,42.298424,-71.410182,213254543,1384,3453,100,4.75 kW,335,
2,42.2989607,-71.453985,213269720,1353,1339,100,5 kW,352,
1,42.3126738,-71.4779624,213272226,1452,529,100,5.25 kW,370,
2.25,42.292529,-71.408873,213253876,1501,1180,100,4.25 kW,300,
1,42.2923286,-71.4347833,213264802,1275,1216,100,5.25 kW,370,
2,42.272772,-71.4335774,213264497,1434,740,100,4.75 kW,335,
6,42.2993037,-71.4016418,213250368,1441,16456,100,4.5 kW,317,
2.5,42.2718865,-71.413818,213256835,1116,1092,100,7.5 kW,529,
1,42.2888652,-71.4040771,213251592,1404,652,100,4.75 kW,335,
2.5,42.3122363,-71.4361284,213265253,1247,1850,100,5.5 kW,388,
2.5,42.2724535,-71.4194305,213259078,1450,810,100,5.5 kW,388,
1,42.3097606,-71.3927819,213248417,1037,899,100,6.75 kW,476,
1.75,42.3068276,-71.4621013,213270962,1117,1885,100,6.5 kW,458,
1,42.309796,-71.4551445,213269888,1451,1163,100,4.5 kW,317,
2.5,42.2679583,-71.4208221,213259687,1470,1057,100,4.75 kW,335,
1,42.2797919,-71.4034443,213251330,1458,264,100,3.75 kW,264,
2,42.3127833,-71.434505,213264772,1141,916,100,6.25 kW,440,
1.75,42.2762321,-71.4411376,213266928,1343,599,100,5.25 kW,370,
1,42.271173,-71.3939608,213248592,1334,899,100,5 kW,352,
1.75,42.2733582,-71.4366386,213265432,1172,493,100,6.5 kW,458,
2,42.2972351,-71.4317453,213263989,1389,1550,100,4.75 kW,335,
2,42.2972656,-71.404912,213251947,1296,317,100,4.5 kW,317,
2,42.2756771,-71.4371488,213265633,1387,634,100,5 kW,352,
1.75,42.2680471,-71.4273621,213262895,1361,599,100,5.25 kW,370,
1,42.2930009,-71.428578,213263296,1357,6572,100,4.75 kW,335,
2,42.2713877,-71.4181782,213258568,1355,405,100,5.75 kW,405,
1,42.3126131,-71.4057006,213252200,1219,1128,100,5.75 kW,405,
1.5,42.3127404,-71.4458221,213268011,1006,1163,100,7 kW,493,
1,42.2920098,-71.4046337,213251832,1307,899,100,6 kW,423,
1.5,42.3090315,-71.4105247,213254641,1242,529,100,7 kW,493,
1,42.3121194,-71.4762001,213272087,1181,881,100,6 kW,423,
2,42.2909728,-71.4526168,213269424,1085,1163,100,6.25 kW,440,
1,42.289774,-71.4629361,213271010,1294,1198,100,5.25 kW,370,
2,42.2699883,-71.442761,213267320,1339,1357,100,5 kW,352,
1.75,42.2672216,-71.4219816,213260581,1350,634,100,5.5 kW,388,
1,42.2864754,-71.4805363,213272470,895,1128,100,7.75 kW,546,
2.5,42.3026439,-71.4448481,213267807,1366,1004,100,5 kW,352,
1.75,42.2829148,-71.4088418,213253920,1355,176,100,2.5 kW,176,
2,42.2923457,-71.4373343,213265698,1498,1550,100,4.25 kW,300,
1,42.2800952,-71.4604781,213270822,1245,1286,100,5.25 kW,370,
1.5,42.2806129,-71.4484194,213268663,1230,2220,100,5.5 kW,388,
1,42.3156151,-71.4189667,213258865,,,,,,
2,42.2885176,-71.4091679,213254026,1232,669,100,6 kW,423,
2,42.2951372,-71.4102,213254524,1341,846,100,5.5 kW,388,
1,42.3101601,-71.3997168,213249963,1257,1462,100,5.25 kW,370,
1,42.299398,-71.4537067,213269664,1097,740,100,6.75 kW,476,
1,42.3033488,-71.415024,213257326,1372,1269,100,4.75 kW,335,
1,42.3100203,-71.4062108,213252453,1327,1092,100,5 kW,352,
2,42.2728944,-71.3960522,213248957,1367,1216,100,5 kW,352,
2.25,42.2919754,-71.4522689,213269358,1228,1304,100,6 kW,423,
1,42.309142,-71.4167402,213258035,1388,1251,100,4.75 kW,335,
1,42.3072863,-71.4537067,213269599,1189,1039,100,6 kW,423,
2,42.2845672,-71.4046337,213251784,1414,617,100,5 kW,352,
2,42.2826719,-71.4525008,213269407,1232,1251,100,5.75 kW,405,
1.75,42.3142398,-71.43098,213263791,928,211,100,3 kW,211,
1.5,42.3152551,-71.4314902,213263900,1394,828,100,5 kW,352,
2,42.299886,-71.411348,213255009,1183,617,100,6 kW,423,
1,42.3086514,-71.4168098,213258040,1240,1445,100,5.25 kW,370,
1,42.2856732,-71.479632,213272329,1032,1374,100,6.75 kW,476,
2,42.2832672,-71.4082054,213253584,1249,423,100,6 kW,423,
1,42.2885493,-71.4273157,213262883,1341,1533,100,5 kW,352,
2,42.2932358,-71.4379837,213265920,1112,1075,100,6.25 kW,440,
1,42.309003,-71.4012475,213250314,1267,1198,100,5.25 kW,370,
1.75,42.3142976,-71.4312699,213263825,826,194,100,2.75 kW,194,
2,42.3148653,-71.4010143,213250261,1461,1674,100,5 kW,352,
1,42.2709277,-71.4261098,213262479,1432,1110,100,4.5 kW,317,
2,42.3138027,-71.4225846,213261116,,,,,,
1,42.307404,-71.385383,472262068,1329,6131,100,5 kW,352,
2,42.2684546,-71.438262,213265930,889,1145,100,7.75 kW,546,
2.5,42.2702513,-71.418997,213258864,1334,511,100,6.25 kW,440,
1.75,42.2747493,-71.400459,213250125,1280,740,100,5.5 kW,388,
1.75,42.2726553,-71.4395606,213266280,1261,669,100,5.25 kW,370,
2.5,42.2828946,-71.4124265,213255564,1450,810,100,4.75 kW,335,
1,42.2872476,-71.4436633,213267567,1176,987,100,5.75 kW,405,
2,42.2795992,-71.4127512,213255902,1341,916,100,5.25 kW,370,
1,42.3121532,-71.4153951,213257545,1280,1128,100,5.5 kW,388,
2,42.3050424,-71.4124729,213255537,1410,1216,100,5 kW,352,
1.5,42.2685415,-71.4378909,213265884,1337,1057,100,5.25 kW,370,
2,42.3055412,-71.423234,213261354,1498,1392,100,4.5 kW,317,
1,42.3094932,-71.4739508,213271810,1454,2431,100,4.5 kW,317,
2,42.3123647,-71.4703102,213271479,1312,1269,100,5.75 kW,405,
1.75,42.2697529,-71.418642,213258745,1272,828,100,6 kW,423,
2.5,42.2983492,-71.4336238,213264505,1454,370,100,5.25 kW,370,
1.75,42.3042265,-71.4107102,213254708,1268,758,100,5.5 kW,388,
1,42.2624419,-71.4210076,213259797,1209,247,100,3.5 kW,247,
1,42.2897338,-71.4475382,213268418,1330,1145,100,5.25 kW,370,
2,42.2769502,-71.400097,213250021,1323,3207,100,5 kW,352,
2,42.3154072,-71.4330672,213264322,1284,599,100,5.25 kW,370,
1,42.3035089,-71.4362212,213265244,1172,2713,100,5.75 kW,405,
1.75,42.271493,-71.393711,213248536,1430,775,100,4.5 kW,317,
2,42.2695154,-71.4410449,213266939,1298,846,100,5 kW,352,
1.5,42.2934512,-71.4412768,213266973,1344,1603,100,5 kW,352,
2,42.3121776,-71.4655101,213271209,1041,1885,100,7.25 kW,511,
1,42.2755435,-71.440581,213266738,1390,951,100,4.75 kW,335,
2,42.292927,-71.4307944,213263730,1398,617,100,5 kW,352,
1.5,42.2613371,-71.4244748,213261885,1406,564,100,5.75 kW,405,
1,42.3151826,-71.4188275,213258828,,,,,,
1.75,42.270823,-71.4172505,213258188,1342,1128,100,5.25 kW,370,
1,42.2966167,-71.4068139,213252679,1298,1392,100,5.25 kW,370,
1,42.2809809,-71.4604317,213270829,1287,1286,100,5 kW,352,
2,42.3062703,-71.4680145,213271378,1337,1498,100,5 kW,352,
2,42.2792783,-71.3984444,213249382,1390,652,100,5.25 kW,370,
6,42.297777,-71.423237,213261368,1422,11593,100,4.75 kW,335,
2.5,42.274282,-71.421297,213260129,1264,476,100,6.75 kW,476,
1,42.2921696,-71.405144,213252042,1335,934,100,5 kW,352,
2,42.2886608,-71.4164156,213257909,1272,899,100,5.75 kW,405,
1,42.305966,-71.4010431,465037247,1386,66721,100,4.5 kW,317,
4,42.3121764,-71.389442,213248017,1392,5885,100,4.75 kW,335,
2.5,42.3069097,-71.4220744,213260626,1274,1286,100,5.5 kW,388,
1,42.3032425,-71.4072777,213252935,1300,828,100,5.25 kW,370,
1.25,42.2929938,-71.4418797,213267141,1476,1374,100,4.5 kW,317,
1,42.2693356,-71.425913,213262482,1446,6695,100,4.5 kW,317,
1,42.3091883,-71.4159053,213257702,1238,1198,100,5.5 kW,388,
2,42.3108043,-71.4140036,213256970,1105,722,100,6.25 kW,440,
2.5,42.2809264,-71.4195697,213259168,1243,758,100,6.25 kW,440,
2.5,42.2825143,-71.4188275,213258841,1202,1092,100,6 kW,423,
1,42.2871497,-71.476432,213272099,1353,793,100,6 kW,423,
1.75,42.2671706,-71.4254604,213262238,1378,669,100,5.25 kW,370,
2,42.2723386,-71.4189667,213258894,1432,1180,100,4.5 kW,317,
1.5,42.3013231,-71.4409521,213266884,950,617,100,8.5 kW,599,
2,42.2898572,-71.4516196,213269249,1192,1868,100,5.75 kW,405,
2,42.2816886,-71.4524081,213269395,1248,1498,100,5.5 kW,388,
1,42.27647,-71.416289,213257983,1399,4299,100,4.5 kW,317,
2.5,42.2876015,-71.4149776,213257339,1429,740,100,5 kW,352,
2,42.268976,-71.4215642,213260385,1199,1128,100,5.5 kW,388,
2,42.3046186,-71.4221672,213260742,1379,1779,100,4.75 kW,335,
1.75,42.2888937,-71.411781,213255275,1299,599,100,5.25 kW,370,
2,42.2801502,-71.4391896,213266187,1262,881,100,5.25 kW,370,
1,42.3153423,-71.4556083,213269935,754,987,100,9.5 kW,669,
1,42.2785669,-71.4120322,213254900,1369,3312,100,4.75 kW,335,
1,42.3047923,-71.4160909,213257749,1249,1075,100,5.5 kW,388,
1,42.2786384,-71.4481875,213268648,988,1216,100,7 kW,493,
1,42.3088277,-71.3949301,213248822,1404,934,100,4.75 kW,335,
2.5,42.2726712,-71.4262953,213262635,1500,705,100,5 kW,352,
1,42.2734126,-71.4258315,213262369,1484,758,100,4.5 kW,317,
1,42.3063548,-71.4523617,213269411,1342,1480,100,5 kW,352,
1.5,42.2884516,-71.4039959,213251544,1355,916,100,5 kW,352,
2,42.2962361,-71.439236,213266161,1409,1251,100,4.75 kW,335,
2.5,42.2950482,-71.4319076,213263999,1387,669,100,5.25 kW,370,
2.5,42.2837832,-71.4131099,213256561,1202,705,100,6.5 kW,458,
1,42.2703452,-71.3977221,213249234,1119,934,100,6.75 kW,476,
1,42.2886828,-71.4056542,213252303,1452,1022,100,4.5 kW,317,
1.75,42.3115219,-71.3925268,213248383,1343,529,100,5.25 kW,370,
1.5,42.275925,-71.4408593,213266830,1490,564,100,6 kW,423,
1,42.2876166,-71.426711,213262741,1303,758,100,5.25 kW,370,
1.75,42.2721346,-71.3940001,213248591,1297,529,100,5.75 kW,405,
2,42.2898172,-71.4146529,213257196,772,493,100,7 kW,493,
2,42.2949429,-71.4417406,213267139,1164,1128,100,5.75 kW,405,
1,42.277501,-71.412456,213255530,1407,352,100,4.75 kW,335,
2,42.2937069,-71.4305625,213263659,1279,1180,100,5.5 kW,388,
1,42.2785669,-71.4120322,213254900,1369,3312,100,4.75 kW,335,
2,42.2859287,-71.424498,213261899,1435,493,100,4.75 kW,335,
1,42.2696556,-71.4247834,213262056,1353,7012,100,4.75 kW,335,
1.25,42.269303,-71.4030566,213250899,1452,1039,100,4.5 kW,317,
2.5,42.2691191,-71.4197141,213259295,1480,934,100,4.5 kW,317,
1.75,42.2962802,-71.4259242,213262371,1234,1022,100,5.5 kW,388,
2,42.3085333,-71.4845942,213273118,1262,687,100,6.5 kW,458,
2,42.3045879,-71.4473526,213268378,1161,458,100,6 kW,423,
1,42.269766,-71.3958203,213248953,1259,863,100,5.75 kW,405,
2,42.2935024,-71.4355718,213265046,1150,564,100,6.25 kW,440,
1,42.2951156,-71.419964,213259363,1081,793,100,7.5 kW,529,
1,42.2753268,-71.4484194,213268678,1010,1110,100,7 kW,493,
1,42.2967863,-71.4325106,213264231,1482,2008,100,4.25 kW,300,
2,42.3017308,-71.439607,213266241,1378,1392,100,5.25 kW,370,
1,42.3025618,-71.4676435,213271352,1267,1427,100,5.25 kW,370,
1,42.2619394,-71.426017,213262513,857,617,100,8.75 kW,617,
2.5,42.2985054,-71.4292174,213263390,1398,863,100,5.5 kW,388,
2,42.2596319,-71.4217381,213260460,1437,810,100,4.75 kW,335,
1,42.2708889,-71.4258779,213262356,1320,1110,100,5.25 kW,370,
2.5,42.271846,-71.4309336,213263753,1427,669,100,5 kW,352,
2,42.2925415,-71.4743914,213271845,1165,1586,100,6 kW,423,
2,42.3074137,-71.461823,213270938,1351,1568,100,4.75 kW,335,
1,42.2698216,-71.3952636,213248857,1121,1039,100,6.25 kW,440,
2,42.3103994,-71.4713537,213271637,1407,2044,100,4.75 kW,335,
1,42.2785669,-71.4120322,213254900,1369,3312,100,4.75 kW,335,
2.5,42.2792626,-71.414018,213257014,1303,1075,100,5.25 kW,370,
1,42.2745109,-71.418508,213258743,1353,4405,100,4.75 kW,335,
1,42.3032857,-71.4166475,213258013,1086,740,100,6.5 kW,458,
3,42.3005556,-71.4385866,213266021,1500,687,100,4.75 kW,335,
2,42.2872839,-71.4099681,213254435,1407,476,100,6.25 kW,440,
1,42.2938669,-71.4212859,213260210,1258,1004,100,5.25 kW,370,
1,42.2725065,-71.4384475,213266017,1424,1445,100,4.5 kW,317,
1,42.3124704,-71.4787508,213272266,1316,1498,100,5 kW,352,
1,42.2876262,-71.4439767,213267691,978,881,100,7 kW,493,
1,42.3045556,-71.407788,213253214,977,458,100,6.5 kW,458,
1,42.3023352,-71.4476773,213268442,1147,1515,100,6 kW,423,
2,42.2915303,-71.4525008,213269406,1259,1339,100,5.75 kW,405,
1.5,42.267611,-71.4223063,213260833,1406,388,100,5.5 kW,388,
1,42.3069183,-71.4136789,213256825,1408,1674,100,4.75 kW,335,
1,42.2959631,-71.4209148,213259785,1272,546,100,5.75 kW,405,
1,42.3077216,-71.4565359,213270085,1111,1269,100,6.25 kW,440,
1.75,42.263553,-71.429637,213263477,1097,546,100,6.5 kW,458,
2,42.2729023,-71.4352471,213264971,1215,1022,100,5.75 kW,405,
1.75,42.3039772,-71.4394679,213266260,1205,793,100,7.75 kW,546,
2,42.2659745,-71.4258779,213262458,1192,846,100,6 kW,423,
1,42.3110051,-71.4076488,213253201,1475,1128,100,4.5 kW,317,
1,42.3153937,-71.4821131,213272777,1343,1550,100,5 kW,352,
2,42.3028361,-71.4651623,213271154,1166,1374,100,6 kW,423,
1,42.259834,-71.4230021,213261253,1437,934,100,4.5 kW,317,
1.5,42.2947448,-71.4466801,213268272,1356,1586,100,5.25 kW,370,
2,42.2969786,-71.404309,213251723,1149,810,100,6.5 kW,458,
2.5,42.280061,-71.4149544,213257308,1441,1251,100,4.5 kW,317,
1,42.2969506,-71.4459612,213268048,1281,951,100,5.75 kW,405,
1,42.3040667,-71.4155343,213257568,1476,1709,100,4.5 kW,317,
2,42.3066265,-71.4241617,213261768,1302,1868,100,5 kW,352,
1,42.3063984,-71.4499499,213269017,1123,1603,100,6.25 kW,440,
2,42.3036798,-71.4123337,213255497,1491,1057,100,4.75 kW,335,
1,42.3151548,-71.4095506,213254262,1162,1251,100,5.75 kW,405,
1,42.3049787,-71.4076488,213253170,950,335,100,4.75 kW,335,
2,42.3025987,-71.4481411,213268611,1043,1198,100,7 kW,493,
2.5,42.2845,-71.410219,213254497,1400,1515,100,4.75 kW,335,
1,42.2785669,-71.4120322,213254900,1369,3312,100,4.75 kW,335,
1.75,42.2895049,-71.4377054,213265825,1120,370,100,5.25 kW,370,
1,42.269658,-71.3973974,213249174,1305,846,100,5.25 kW,370,
1,42.3012766,-71.4198712,213259249,1402,1462,100,5.25 kW,370,
1,42.3047639,-71.4141427,213257036,1274,846,100,5.75 kW,405,
1,42.2802969,-71.4017704,213250550,1381,722,100,4.75 kW,335,
2,42.2884742,-71.4217497,213260462,1427,1515,100,4.5 kW,317,
2.5,42.3050443,-71.4636782,213271049,1167,634,100,7.5 kW,529,
2,42.2866778,-71.4224687,213260758,1247,2238,100,5.25 kW,370,
2,42.2964189,-71.4343195,213264703,1470,1233,100,5 kW,352,
1.75,42.2832085,-71.4412304,213266981,1207,899,100,5.75 kW,405,
2,42.2615631,-71.4232108,213261343,1404,1357,100,4.75 kW,335,
2,42.2692548,-71.4410449,213266933,1291,846,100,5.25 kW,370,
2,42.3123056,-71.4320932,213264054,1270,652,100,5.25 kW,370,
2.5,42.261825,-71.421484,213260369,1418,1374,100,4.75 kW,335,
1.75,42.2928883,-71.4327889,213264266,1164,529,100,6.5 kW,458,
2,42.3117101,-71.471516,213271646,1441,1092,100,5 kW,352,
2,42.2891347,-71.4214714,213260364,1102,934,100,6.25 kW,440,
2,42.2861869,-71.4431067,213267418,1336,775,100,5 kW,352,
1.9,42.3049961,-71.418642,213258739,1212,705,100,5.75 kW,405,
2,42.2721113,-71.4327425,213264227,1479,899,100,4.5 kW,317,
1,42.3134891,-71.4064892,213252612,1358,1216,100,5 kW,352,
1,42.309479,-71.4191986,213258952,1131,1515,100,6 kW,423,
1.75,42.2948776,-71.4199871,213259320,976,458,100,6.5 kW,458,
1,42.3028132,-71.4076024,213253175,1251,687,100,5.5 kW,388,
2,42.281858,-71.456505,213270076,1479,1550,100,4.5 kW,317,
2.5,42.2684875,-71.4230949,213261341,1446,335,100,4.75 kW,335,
2,42.2678155,-71.4195233,213259150,1502,1022,100,4.25 kW,300,
2,42.298177,-71.4323715,213264163,1422,1269,100,4.5 kW,317,
1,42.3069672,-71.4068602,213252736,1223,969,100,5.5 kW,388,
1,42.2848645,-71.4451264,213267861,1271,1057,100,5.25 kW,370,
2,42.2829942,-71.453985,213269711,1432,1198,100,4.5 kW,317,
1,42.2929348,-71.431954,213264012,1252,405,100,5.75 kW,405,
2,42.2784976,-71.4460076,213268052,1058,388,100,5.5 kW,388,
2,42.2998958,-71.4525394,213269450,1469,1321,100,4.5 kW,317,
1,42.2785669,-71.4120322,213254900,1369,3312,100,4.75 kW,335,
2,42.2905746,-71.4836899,213273018,1376,2061,100,5 kW,352,
1,42.2813437,-71.4463323,213268245,1142,1304,100,6 kW,423,
1,42.3139863,-71.4519443,213269340,968,1779,100,6.75 kW,476,
2,42.3071039,-71.4243472,213261795,1401,1110,100,4.75 kW,335,
1,42.2781947,-71.4165892,213257991,1412,3066,100,4.5 kW,317,
2.5,42.2725904,-71.4278583,213263070,1389,793,100,5 kW,352,
1,42.2918257,-71.4264345,213262718,1449,2537,100,4.5 kW,317,
1,42.2695369,-71.3971191,213249121,1267,987,100,5.25 kW,370,
1,42.3068343,-71.4080663,213253426,1176,934,100,6 kW,423,
2.5,42.268721,-71.4246023,213261917,1291,1727,100,5.5 kW,388,
1.75,42.2715826,-71.3968872,213249087,1177,335,100,4.75 kW,335,
1,42.3073366,-71.4044018,213251700,1347,1075,100,5 kW,352,
1,42.2861088,-71.4464665,213268249,1470,1251,100,4.5 kW,317,
1.5,42.2889383,-71.425414,213262234,1338,1145,100,5 kW,352,
1.5,42.2666647,-71.4222136,213260740,1414,599,100,5.25 kW,370,
2,42.2983909,-71.43098,213263777,1440,511,100,5.5 kW,388,
2,42.284028,-71.4063036,213252543,1410,476,100,5.75 kW,405,
2,42.2821163,-71.4540777,213269780,1221,1868,100,5.5 kW,388,
2,42.312189,-71.4719334,213271667,1322,1092,100,5.5 kW,388,
1,42.2939922,-71.4442915,213267701,1384,1709,100,4.75 kW,335,
2,42.288617,-71.4015954,213250441,1174,1550,100,6 kW,423,
1.75,42.3151128,-71.433531,213264462,1284,599,100,5.25 kW,370,
1,42.2944376,-71.4429757,213267386,1286,1269,100,5.25 kW,370,
1.75,42.2898587,-71.407788,213253237,1457,775,100,4.75 kW,335,
2.5,42.2715412,-71.4177607,213258392,1460,687,100,5 kW,352,
1,42.3099753,-71.4146066,213257177,1306,2026,100,5 kW,352,
2,42.2903987,-71.4147921,213257304,1139,969,100,6.5 kW,458,
1,42.3004142,-71.4050512,213252004,1299,1075,100,5.25 kW,370,
1,42.3072436,-71.4596896,213270707,1257,1339,100,5.25 kW,370,
1,42.2818121,-71.4462395,213268146,1351,1039,100,5 kW,352,
1,42.2869662,-71.4409985,213266924,1469,1180,100,4.5 kW,317,
1.75,42.2718176,-71.4200799,213259460,1437,458,100,5.75 kW,405,
2,42.2693757,-71.416833,213258043,1121,881,100,7 kW,493,
1,42.2750379,-71.4395606,213266286,1342,1251,100,5 kW,352,
2,42.3117621,-71.4738349,213271792,1371,1269,100,5.25 kW,370,
2.5,42.2718048,-71.4247879,213262006,1270,652,100,7 kW,493,
1,42.2874428,-71.4455515,213267995,1428,1145,100,5.25 kW,370,
1,42.3028394,-71.4070922,213252875,1280,846,100,5.5 kW,388,
2.5,42.2796213,-71.4148849,213257335,1433,1092,100,4.5 kW,317,
1,42.2709453,-71.3973047,213249151,1409,1180,100,4.75 kW,335,
2,42.2924899,-71.4399781,213266407,1385,1163,100,4.75 kW,335,
1,42.2953476,-71.4365922,213265459,1294,828,100,5.5 kW,388,
2,42.3113978,-71.4375662,213265775,1368,1603,100,4.75 kW,335,
1.75,42.2752142,-71.4041235,213251628,1368,546,100,6 kW,423,
2,42.3129015,-71.3992065,213249785,1419,1110,100,4.75 kW,335,
1,42.290819,-71.4046337,213251806,1208,529,100,6.25 kW,440,
1,42.2937319,-71.4409521,213266913,1144,1233,100,5.75 kW,405,
1.25,42.2705645,-71.4364067,213265383,1424,810,100,4.75 kW,335,
2,42.295795,-71.4501818,213269041,1458,1744,100,4.5 kW,317,
1,42.2803761,-71.4013867,213250396,1439,1022,100,4.75 kW,335,
2,42.2968111,-71.4208684,213259743,1297,564,100,5.25 kW,370,
1.75,42.2916307,-71.4025927,213250725,1313,493,100,5.75 kW,405,
1,42.2829186,-71.4401636,213266499,1342,1180,100,5 kW,352,
2.5,42.2692286,-71.4192914,213258975,1299,405,100,5.75 kW,405,
2,42.2882387,-71.4145602,213257182,1159,370,100,5.25 kW,370,
1,42.2991819,-71.4033581,213251071,1388,4669,100,4.75 kW,335,
1,42.313117,-71.4476309,213268429,1083,1568,100,6.25 kW,440,
1,42.2693356,-71.425913,213262482,1446,6695,100,4.5 kW,317,
1,42.308759,-71.41623,213257822,1341,1145,100,5 kW,352,
1,42.2954499,-71.4209612,213259790,1293,916,100,5.25 kW,370,
1,42.2781947,-71.4165892,213257991,1412,3066,100,4.5 kW,317,
2.5,42.2814452,-71.4084373,213253649,1336,1022,100,5.25 kW,370,
2,42.2782124,-71.4152388,213257510,1379,13989,100,4.75 kW,335,
2,42.2616159,-71.422658,213261243,1405,2044,100,4.75 kW,335,
2,42.287934,-71.408106,213253415,1479,722,100,4.75 kW,335,
2.5,42.270611,-71.4113132,213255021,1355,899,100,5.5 kW,388,
1,42.2781947,-71.4165892,213257991,1412,3066,100,4.5 kW,317,
1,42.2781947,-71.4165892,213257991,1412,3066,100,4.5 kW,317,
2,42.2709739,-71.4110349,213254932,1310,740,100,6 kW,423,
1,42.2966586,-71.4412072,213266942,1308,1163,100,5 kW,352,
2,42.272408,-71.433716,213264536,1330,775,100,5.25 kW,370,
1.75,42.3027774,-71.4119859,213255292,1398,300,100,4.25 kW,300,
1,42.3111547,-71.4098753,213254440,842,352,100,5 kW,352,
1.75,42.2966063,-71.4451204,213267882,1320,1004,100,5.25 kW,370,
2.5,42.3023228,-71.4103348,213254546,1286,793,100,5.25 kW,370,
1,42.2916541,-71.454356,213269763,1206,423,100,5.75 kW,405,
1,42.2781947,-71.4165892,213257991,1412,3066,100,4.5 kW,317,
2,42.3020523,-71.4115915,213255190,1360,511,100,6 kW,423,
1.75,42.2961067,-71.4429334,213267367,1470,899,100,4.75 kW,335,
1,42.2880712,-71.444858,213267822,1060,1075,100,7 kW,493,
2,42.3104021,-71.4662215,213271265,1365,1339,100,4.75 kW,335,
1,42.3104638,-71.4803276,213272386,1199,1216,100,5.75 kW,405,
2,42.283171,-71.4537067,213269575,1016,1004,100,6.75 kW,476,
1,42.297131,-71.472116,213271691,1457,4933,100,4.5 kW,317,
2,42.2733071,-71.4007373,213250191,1393,1057,100,4.75 kW,335,
2,42.2677647,-71.4263417,213262601,1445,1797,100,4.75 kW,335,
1.75,42.271029,-71.419355,213259020,1485,511,100,5 kW,352,
2,42.3084568,-71.4783334,213272236,1459,1269,100,4.75 kW,335,
2,42.310562,-71.4007837,213250172,1242,1603,100,5.5 kW,388,
2.5,42.2723316,-71.4135861,213256841,1457,1039,100,4.5 kW,317,
1.75,42.2723696,-71.3944751,213248708,1039,335,100,4.75 kW,335,
2,42.2918471,-71.4081648,213253495,1511,846,100,4.5 kW,317,
3,42.2748123,-71.4170649,213258083,1440,2273,100,4.5 kW,317,
2,42.2941113,-71.4276404,213262984,1450,546,100,5 kW,352,
1.75,42.3108377,-71.4166475,213258009,1133,493,100,6.75 kW,476,
1.5,42.2904774,-71.4208221,213259776,1291,1057,100,5.25 kW,370,
2,42.2851131,-71.4050048,213252027,1416,969,100,4.75 kW,335,
1.75,42.2716873,-71.3948462,213248800,1363,194,100,2.75 kW,194,
2,42.3138054,-71.4606636,213270851,1151,1180,100,6.25 kW,440,
